"PESSI_schools","Address","BM1","Address_BM1","BM2","Address_BM2","BM3","Address_BM3","BM4","Address_BM4","BM5","Address_BM5"
"LASALLE HIGH SCHOOL","BOSAN ROAD, MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT"
"DECENT PUBLIC SCHOOL","SURAJMIANI ROAD, MULTAN","NAYAB DECENT PUBLIC SCHOOL","WILAYAT ABAD NO 1","DECENT WAY PUBLIC SCHOOL","17  KASSI BUDHLA ROAD","RADIANT PUBLIC SCHOOL","MUSLIM COLONY","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","BRILLANT PUBLIC SCHOOL","GULSHAN E MULTAN ST 4 40 FEET"
"ALI GARH MODEL SCHOOL","GULGUSHT COLONY MULTAN","ALI GARH MODEL GIRLS & BOYS HIGH SCHOOL","GAAL BAGH CHOWK GULGASHT MULTAN","LEO MODEL SCHOOL","Town Bilal Chowk Shujaabad Road","IKRASH MODEL SCHOOL","NEAR UNION COUNCIL BASTI MALOOK","JINNAH MODEL SCHOOL","JINNAH MODEL SCHOOL RAILWAY ROAD","IKRASH MODEL SCHOOL","NEAR UNION COUNCIL BASTI MALOOK"
"SADAF NURSERY SCHOOL","GULGUSHT COLONY MULTAN","BASIT NURSERY SCHOOL","BEHIND BISE MULTAN","MY SCHOOL","MASOOM SHAH ROAD","FIRST HOME NURSERY PUBLIC SCHOOL","Haji Block Ismail Abad","BEC SCHOOL","BASTI ALIWALA","BEC SCHOOL","CHAK LOHARAN WALI"
"ISLAMI CADET HIGH SCHOOL","GULGUSHT COLONY MULTAN","ISLAMIC MODEL HIGH SCHOOL","ALHARAM COLONY","ISLAMIA PUBLIC HIGH SCHOOL","JAMAL TOWN CHUNGI NO 14","PUNJAB ISLAMIA HIGH SCHOOL","MUJTABA CANAL VIEW MULTAN","ISLAMIA PUBLIC HIGH SCHOOL","JAMAL TOWN CHUNGI NO 14","PUNJAB ISLAMIA HIGH SCHOOL","MUJTABA CANAL VIEW MULTAN"
"LAHORE GRAMMER SCHOOL.","OFFICER COLONY MULTAN","EVE GRAMMER SCHOOL","SHAREEF PURA","LIFE GRAMMER SCHOOL","DERA MUHAMMADI","ALI GRAMMER SCHOOL","AHMED PURA MULTAN","ZAIN GRAMMER SCHOOL","IQBAL NAGAR TB ROAD","IQBAL GRAMMER SCHOOL","AHMED ABAD MULTAN ST -14"
"ISLAMIA SAEEDA JUNIOR MODEL SCHOOL","PULL BARRA MULTAN","SADIA JUNIOR MODEL SCHOOL","SADIA SENIOR MODEL SCHOOL","STAR JUNIOR MODEL SCHOOL","ALONG DEHLI GATE","ASIM JUNIOR MODEL SCHOOL","ASIM JUNIOR MODEL SCHOOL","AZAZ JUNIOR MODEL SCHOOL","984- NAQSHBAND","PUNJAB JUNIOR MODEL SCHOOL","WAZIR ABAD BWP ROAD"
"HOPE SCHOOL","BOSAN ROAD, MULTAN","THE HOPE SCHOOL SYSTEM","BASTI BAHALPUR SUKHA","NFBE SCHOOL","BASTI ALI WALA","NFBE SCHOOL","P/O KOT ABBAS SHAHEED","NFBE SCHOOL","CHAK MURSHI WALA","NBFE SCHOOL","GAREED ABAD"
"MULTAN PUBLIC SCHOOL","BOSAN ROAD, MULTAN","AMAN PUBLIC SCHOOL","AMAN SCHOOL STR KOT RUB NAWAT","EMAN PUBLIC SCHOOL","NEAR BALOCH CHOWK","AMAN PUBLIC SCHOOL","AMAN SCHOOL STR KOT RUB NAWAT","EMAN PUBLIC SCHOOL","NEAR BALOCH CHOWK","SAKHI SULTAN PUBLIC SCHOOL MULTAN","NEAR DARBAR SAKHI SULTAN SURAJ MIANI MULTAN"
"EDUCATOR AL ZAKRIYA","MDA RAOD, MULTAN","THE EDUCATORS AL-ZAKRIYA CAMPUS","592 SHADAB","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN"
"ZAMIR PUBLIC SCHOOL","BOSAN ROAD, MULTAN","ZAMIR PUBLIC SCHOOL","OPPOT TELEPONE EXCHANGE CHUNGI 6","ZAMIR PUBLIC SCHOOL","ZAKRIYA TOWN FASE III","ZAMIR PUBLIC SCHOOL","OPPOT TELEPONE EXCHANGE CHUNGI 6","ZAMIR PUBLIC SCHOOL","ZAKRIYA TOWN FASE III","AL- AAMIR PUBLIC SCHOOL","BASTI DURANALANGA"
"PIECE INTERNATIONAL SCHOOL","BOSAN ROAD, MULTAN","THE INTERNATIONAL SCHOOL","BHUTTA COLONY","DECENT INTERNATIONAL SCHOOL","Chori Garh","INSPIRE INTERNATIONAL SCHOOL","KASHMIR CHOWK AL ATTA COLONY","THE PEACE INTERNATIONAL SCHOOL","WAHDAT COLONY","BRIT INTERNATIONAL SCHOOL","Shah Hussain More"
"MULTAN CITY SCHOOL","NAQSHBAND COLONY MULTAN","MULTAN CITY SCHOOL","426 NAQSHBAND COLONY MULTAN","THE CITY SCHOOL","34 A GULDASHT COLONY MULTAN","THE PUNJAB CITY SCHOOL MULTAN","63 T Block","MULTAN SCHOLAR SCHOOL","SHAHEEN ABAD CH NO 11","BLOOM CITY SCHOOL","IQRA TOWN DUNIYA PUR ROAD"
"CITY CENTRAL SCHOOL","BOSAN ROAD, MULTAN","THE CITY SCHOOL","34 A GULDASHT COLONY MULTAN","BLOOM CITY SCHOOL","IQRA TOWN DUNIYA PUR ROAD","LEAD  CITY SCHOOL","H NO 137 D BLOCK SHAH RUKNE ALAM","MULTAN CITY SCHOOL","426 NAQSHBAND COLONY MULTAN","THE CITY SCIENCE SCHOOL","SOOKI PILI BASTI SCHOOT SHAH QASIM"
"LAHORE LYSIUM SCHOOL","GULGUSHT COLONY MULTAN","THE LAHORE LYCEUM SCHOOL","12/B MAIN BOSAN ROAD","LAHORE GEMS SCHOOL","JAHANGIR ABAD","LAHORE SCHOOL SYSTEM","TAUNSA STREET","ELYSIUM HALL GRAMMAR SCHOOL","HASHMI CHOWK MAKHDOOM RASHEED","ELYSIUM HALL GRAMMAR SCHOOL","H NO 356 D BLOCK SHAH RUKNE ALAM"
"RISE SCHOOL OF ACCOUNTACY","BOSAN ROAD, MULTAN","THE SCHOOL OF MULTAN","NAWAB PUR ROAD CHAH WAGHA","THE WISE SCHOOL","USMAN STREET - SHER SHAH ROAD","COUNTRY SCHOOL SYSTEM","SHAHZAD TOWN  WABRI ROAD","THE COUNTRY SCHOOL","FAREED CANAL VIEW MULTAN","THE COUNTRY SCHOOL","3-A MUMTAZ ABAD"
"THE EDUCATOR HIGH SCHOOL","KHANEWAL ROAD, MULTAN","BEST EDUCATOR HIGH SCHOOL","ST 1 TANVEER COLONY","CITY EDUCATORS PUBLIC HIGH SCHOOL","GAMO CHOWK NEAR BY PASS","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD"
"THE EDUCATOR COLLEGE","PEER KHURSHEED COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"JINNAH HIGH SCHOOL","OFFICER COLONY MULTAN","THE JINNAH HIGH SCHOOL","Gulshan Faiz Colony","JINNAH HIGHS SCHOOL SYSTEM","104-A GULGASHT COLONY, MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN"
"PREMIER PUBLIC SCHOOL","BOSAN ROAD, MULTAN","PREMIER PUBLIC SCHOOL","OPP. TOYOTO MOTOR BOSAN ROAD","PREMIER PUBLIC SCHOOL","1530/22 KHAWAJA COLONY STREET 5","PREMIER PUBLIC SCHOOL","OPP. TOYOTO MOTOR BOSAN ROAD","PREMIER PUBLIC SCHOOL","1530/22 KHAWAJA COLONY STREET 5","MEHER PUBLIC SCHOOL","ST NO 6 KHUSHAL COLONY"
"PAK TRUK SCHOOL","BOSAN ROAD, MULTAN","MY SCHOOL","MASOOM SHAH ROAD","PAK GERMAN SCHOOL","TAIMOOR ROAD CHOWK SHAHEEDAN","PAK PUBLIC SCHOOL","BASHEER ABAD MULTAN","PAK GERMAN SCHOOL","TAIMOOR ROAD CHOWK SHAHEEDAN","PAK PUBLIC SCHOOL","BASHEER ABAD MULTAN"
"THE CITY SCHOOL MULTAN BRANCH","GULGUSHT COLONY MULTAN","MULTAN CITY SCHOOL","426 NAQSHBAND COLONY MULTAN","THE PUNJAB CITY SCHOOL MULTAN","63 T Block","THE CITY SCHOOL (GIRLS BRANCH)","34-A GULGASHT COLONY MULTAN","THE CITY SCHOOL","34 A GULDASHT COLONY MULTAN","THE PUBLIC SCHOOL MULTAN BOYS","14 ABDALI COLONY MULTAN"
"THE CITY SCHOOL T.C.K BRANCH","SURAJMIANI ROAD, MULTAN","THE CITY SCHOOL","34 A GULDASHT COLONY MULTAN","THE CITY SCHOOL (GIRLS BRANCH)","34-A GULGASHT COLONY MULTAN","THE CITY SCIENCE SCHOOL","SOOKI PILI BASTI SCHOOT SHAH QASIM","THE CITY PUBLIC SCHOOL","NEAR BILAL CHOWK OLD SHUJABAD ROAD MULTAN","BLOOM CITY SCHOOL","IQRA TOWN DUNIYA PUR ROAD"
"SCIENCE SCHOOL & BRANCHES","KHANEWAL ROAD, MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL M. D. A BRANCH","SCIENCE SCHOOL MDA ROAD NISHTER TOWN"
"ALLIED SCHOOL","MULTAN PUBLIC SCHOOL ROAD, MULTAN","ALLIED SCHOOL","KOHTHAYWALA","ALLIED SCHOOL MULTAN","48-C SALMANABD MDA MULTAN","ALLIED PUBLIC SCHOOL","STREET ARY SMAJ","ALLIED SCHOOL BOSAN ROAD","19-OFFICERS COLONY MULTAN","ALLIED SCHOOL BASTI MALOOK","P/O BASTI MALOOK MULTAN"
"ALLIED SCHOOL FATIMA COMPLEX","SHALIMAR COLONY MULTAN","ALLIED SCHOOL (FATIMA CAMPUS)","7-A New shalimar Colony","ALLIED SCHOOL","KOHTHAYWALA","ALLIED SCHOOL MULTAN","48-C SALMANABD MDA MULTAN","ALLIED SCHOOL BASTI MALOOK","P/O BASTI MALOOK MULTAN","FATIMA SCHOOL SYSTEM","79-A SULTANA ABAD MULTAN"
"BRITIN BOYS SCHOOL","OFFICER COLONY MULTAN","BRITISH SCHOLAR SCHOOL","HASSAN ABAD GATE NO 1  KHANEWAL ROAD","LAUREAT BOYS  SCHOOL","ST # 10 ZAKRIYA TOWN MULTAN","AL-IMRAN BOYS HIGH SCHOOL","BASTI MULLA MOJ","KIPS SCHOOL","138 & 139 SHAMASABAD MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS"
"KIPS SCHOOL","BOSAN ROAD MULTAN","KIPS SCHOOL","138 & 139 SHAMASABAD MULTAN","MY SCHOOL","MASOOM SHAH ROAD","BEC SCHOOL","BASTI ALIWALA","BEC SCHOOL","CHAK LOHARAN WALI","BEC SCHOOL","PIR COLONY 3"
"ZAVIA SCHOOL","GULGSHAT COLONY MULTAN","ZAVIA SCHOOL SYSTEM","115 B GULGASHT COLONY MULTAN","ZAVIA SCHOOL SYSTEM MAIN CAMPUS","51 B GULGASHT COLONY MULTAN","MY SCHOOL","MASOOM SHAH ROAD","ZAVIA SCHOOL SYSTEM ZAKARIYA CAMPUS","ZAKRIYA TOWN","BEC SCHOOL","BASTI ALIWALA"
"JINNAH HIGH SCHOOL","GULGSHAT COLONY MULTAN","THE JINNAH HIGH SCHOOL","Gulshan Faiz Colony","JINNAH HIGHS SCHOOL SYSTEM","104-A GULGASHT COLONY, MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN"
"JINNAH HIGH SCHOOL","BOSAN ROAD MULTAN","THE JINNAH HIGH SCHOOL","Gulshan Faiz Colony","JINNAH HIGHS SCHOOL SYSTEM","104-A GULGASHT COLONY, MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN"
"JINNAH HIGH SCHOOL","GULGSHAT COLONY MULTAN","THE JINNAH HIGH SCHOOL","Gulshan Faiz Colony","JINNAH HIGHS SCHOOL SYSTEM","104-A GULGASHT COLONY, MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN"
"ALLIED SCHOOL","OFFICER COLONY MULTAN","ALLIED SCHOOL","KOHTHAYWALA","ALLIED SCHOOL MULTAN","48-C SALMANABD MDA MULTAN","ALLIED PUBLIC SCHOOL","STREET ARY SMAJ","ALLIED SCHOOL BOSAN ROAD","19-OFFICERS COLONY MULTAN","ALLIED SCHOOL BASTI MALOOK","P/O BASTI MALOOK MULTAN"
"MULTAN FLORATE SCHOOL SYSTEM","BOSAN ROAD MULTAN","MULTAN FLORET SCHOOL SYSTEM","ZAKRIYA TOWN MAIN STREET","MULTAN FLORET SCHOOLSYSTEM","ZAKRIYA TOWN","MULTAN FLORET SCHOOL SYSTEM GIRLS BRANCH","ZAKRIYA TOWN MAHRAN COLONY","MULTAN LYCEUM SCHOOL SYSTEM","20-21 LODHI COLONY MULTAN","ADAN SCHOOL SYSTEM","SHADAB COLONY"
"DAR-E-IRQAM SCHOOL","MDA ROAD MULTAN","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DARE-ARQAM SCHOOL","353 D SHAH RUKNE ALAM COLONY"
"DAR-E-IRQAM SCHOOL","BOSAN ROAD MULTAN","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DARE-ARQAM SCHOOL","353 D SHAH RUKNE ALAM COLONY"
"SIENCE SCHOOL","KHANEWAL ROAD MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD"
"BILSON PUBLIC SCHOOL","BOSAN ROAD MULTAN","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road","BILSON PUBLIC SCHOOL","JALIL ABAD COLONY MULTAN","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road"
"ALLIED SCHOOL","SHAMSABAD MULTAN","ALLIED SCHOOL","KOHTHAYWALA","ALLIED SCHOOL MULTAN","48-C SALMANABD MDA MULTAN","ALLIED PUBLIC SCHOOL","STREET ARY SMAJ","ALLIED SCHOOL BOSAN ROAD","19-OFFICERS COLONY MULTAN","ALLIED SCHOOL BASTI MALOOK","P/O BASTI MALOOK MULTAN"
"EMARATES SCHOOL","BOSAN ROAD MULTAN","EMIRATES SCHOOL","KHAN VILLAGE ROAD NEAR QAZI MARKET MULTAN","EMIRATES SCHOOL(MUNNAWAR)","NEW NORTH GULGUSHT KEH KASHAN STR 3","KIPS SCHOOL","138 & 139 SHAMASABAD MULTAN","EMIRATES SCHOOL(MUSTAFA CAMPUS)","New shalamar Colony House no 3","MY SCHOOL","MASOOM SHAH ROAD"
"EMARATES SCHOOL","KHAN VILLAGE MULTAN","EMIRATES SCHOOL","KHAN VILLAGE ROAD NEAR QAZI MARKET MULTAN","EMIRATES SCHOOL(MUNNAWAR)","NEW NORTH GULGUSHT KEH KASHAN STR 3","KIPS SCHOOL","138 & 139 SHAMASABAD MULTAN","EMIRATES SCHOOL(MUSTAFA CAMPUS)","New shalamar Colony House no 3","MY SCHOOL","MASOOM SHAH ROAD"
"SIENCE SCHOOL","LODHI COLONY","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD"
"THE SMART SCHOOL","BOSAN ROAD MULTAN","THE SMART SCHOOL","GULGASHT MULTAN","BRITISH SMART SCHOOL","CHOWK GHAZI ABAD","THE SPIRIT SCHOOL","274-F BLOCK","MINDSTART SCHOOL","BOSAN ROAD NEAR BY PASS","THE WISE SCHOOL","USMAN STREET - SHER SHAH ROAD"
"LAHORE GRAMMER SCHOOL.","OFFICER COLONY MULTAN","EVE GRAMMER SCHOOL","SHAREEF PURA","LIFE GRAMMER SCHOOL","DERA MUHAMMADI","ALI GRAMMER SCHOOL","AHMED PURA MULTAN","ZAIN GRAMMER SCHOOL","IQBAL NAGAR TB ROAD","IQBAL GRAMMER SCHOOL","AHMED ABAD MULTAN ST -14"
"THE COUNTRY SCHOOL","SHAMSABAD MULTAN","THE COUNTRY SCHOOL","FAREED CANAL VIEW MULTAN","THE COUNTRY SCHOOL","3-A MUMTAZ ABAD","THE COUNTRY SCHOOL","17 SHALIMAR CLONY BOSAN ROAD MLN","THE COUNTRY SCHOOL","AL QURESH PHASE1 MULTAN","THE COUNTRY SCHOOL","15-G SHAH RUKANEALAK"
"THE EDUCTOR SCHOOL","PEER KHURSHEED COLONY MULTAN","JOINT EDUCATOR SCHOOL","HASSAN PURA STR 47","PERFECT EDUCATOR SCHOOL","ST # 8 GULAB COLONY","EXCEL SCHOOLOF THE EDUCATOR","Al Jelan Town","THE NOBLE EDUCATOR SCHOOL BASTI MALOOK","DUNYA PUR BASTI MALOOK","JB EDUCATOR SCHOOL SYSTEM","SURAJ KUNO ROAD CHAKL NOOR WALA"
"THE COUNTRY SCHOOL","BOSAN ROAD MULTAN","THE COUNTRY SCHOOL","FAREED CANAL VIEW MULTAN","THE COUNTRY SCHOOL","3-A MUMTAZ ABAD","THE COUNTRY SCHOOL","17 SHALIMAR CLONY BOSAN ROAD MLN","THE COUNTRY SCHOOL","AL QURESH PHASE1 MULTAN","THE COUNTRY SCHOOL","15-G SHAH RUKANEALAK"
"THE EDUCATOR","OPP. COCA COLA MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"THE EDUCATOR","99-L SHAH RUKN-E-ALAM COLONY","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"THE EDUCATOR","FRONT OF PARK MUMTAZABAD","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"WIN SUM PUBLIC HIGH SCHOOL","13/G SRA COLONY","IQRA PUBLIC HIGH SCHOOL","GULSHAN RAZA COLONY","ARBI PUBLIC HIGH SCHOOL","SARDAR TOWN KHANEWAL ROAD","IQRA PUBLIC HIGH SCHOOL","GULSHAN RAZA COLONY","ARBI PUBLIC HIGH SCHOOL","SARDAR TOWN KHANEWAL ROAD","FARAN PUBLIC HIGH SCHOOL","BASTI SAMEJ ABAD MOHALLA SHARIF PURA"
"EDEFI HIGH SCHOOL","606-K SRA COLONY MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT"
"MOVERA CADIT / PUNJAB JUNIOR MODEL SCHOOL","BAHAWALPUR ROAD, MULTAN","PUNJAB JUNIOR MODEL SCHOOL","WAZIR ABAD BWP ROAD","SADIA JUNIOR MODEL SCHOOL","SADIA SENIOR MODEL SCHOOL","STAR JUNIOR MODEL SCHOOL","ALONG DEHLI GATE","ASIM JUNIOR MODEL SCHOOL","ASIM JUNIOR MODEL SCHOOL","AZAZ JUNIOR MODEL SCHOOL","984- NAQSHBAND"
"ISLAMIC IDEAL PUBLIC SCHOOL","QASIM PUR COLONY BAHAWALPUR RAOD","ISLAMIC IDEAL PUBLIC SCHOOL","BASTI ALI WALA MULTAN","THE ISLAMIC IDEAL PUBLIC SCHOOL","MADINA TOWN NO 2 MULTAN CITY","ISLAMIC PUBLIC SCHOOL","BASTI AMEER ABAD RAILWAY STATION","ISLAMIC PUBLIC SCHOOL","197 J SHAH RUHN-E-ALAM COLONY","ISLAMIC PUBLIC SCHOOL","BASTI AMEER ABAD RAILWAY STATION"
"MOONA GRAMMER BOYS HIGH SCHOOL","QASIM PUR COLONY BAHAWALPUR RAOD","MOONA GRAMMER BOYS HIGH SCHOOL","BAHAWAR PUR ROAD MULTAN","MULTAN GRAMMAR BOYS HIGH SCHOOL","BASTI GULZAR PUR DONIYO PUR ROAD","MONA GRAMMAR GIRLS HIGH SCHOOL","MAIN MUMTAZ ABAD","THA NOBEL GRAMMER HIGH SCHOOL","Street # 7 Rehman Pura Samejabad","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS"
"AL SAUT UL QURAN SCIENCE SCHOOL","OPP.QARI HANIF MASJID BAHAWALPUR ROAD","SAUT-UL-QURAN SCIENCE SCHOOL SYSTEM","BAHAWAL PUR ROAD MULTAN","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD","HN SCIENCE SCHOOL","AZMAT WASTI ROAD DERA ADA MULTAN","HN SCIENCE SCHOOL","SHAMASABAD","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD"
"THE LEARNER GIRLS HIGH SCHOOL","NEAR CHOWK BCG BAHAWALPUR ROAD","THE LEARNERS GIRLS HIGH SCHOOL","MUMTAZABAD 256/C","THE LEANERS GIRLS HIGH SCHOOL","CHOEK BCG BAHAWALPUR ROAD","AL-NOOR GIRLS HIGH SCHOOL","BILAL NAGAR CHUNGI NO 14","HEAVEN GIRLS HIGH SCHOOL","Gulshan e Fiaz Colony Multan","CANDLE GIRLS HIGH SCHOOL","RAIWIND ROAD MULTAN"
"BILAL PUBLIC SCHOOL","OPP.QARI HANIF MASJID BAHAWALPUR ROAD","BILAL PUBLIC SCHOOL","BILAL PUBLIC SCHOOL MULATN","BILAL PUBLIC SCHOOL","ALLAH-O-AKBAR COLONY","BILAL PUBLIC SCHOOL","BILAL PUBLIC SCHOOL MULATN","BILAL PUBLIC SCHOOL","ALLAH-O-AKBAR COLONY","JAMAL PUBLIC SCHOOL","NEAR DARBAR HAFIZ JAMAL"
"MOBARAK PUBLIC SCHOOL","GULISTAN FAIZ COLONY BAHAWALPUR ROAD","PAK PUBLIC SCHOOL","BASHEER ABAD MULTAN","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","PAK ARAB PUBLIC SCHOOL","PAK ARAB FERTILIZER KHANEWAL ROAD","ALI PUBLIC SCHOOL","BAHWAL PUR SUKHA ROAD","ALI PUBLIC SCHOOL","KHAWAJA GHARIB NAWAZ"
"THE EDUCATOR","QASIM PUR COLONY BAHAWALPUR RAOD","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"THE EDUCATOR","ADDA LAAR BAHAWALPUR ROAD","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"LAURATES HIGH SCHOOL","QASIM PUR COLONY BAHAWALPUR RAOD","LAUREATE HIGH SCHOOL","JAMALPURA COLONY MULTAN","LAUREATE HIGH SCHOOL","SHAMS ABAD COLONY","LAUREATE HIGH SCHOOL","H.22 U-BLOCK NEW MULTAN","LAUREATE HIGH SCHOOL","27 ZAKRIYA TOWN BASAN  ROAD","LAUREATE HIGH SCHOOL","JAMALPURA COLONY MULTAN"
"NAEEM ISLAMIC SCHOOL","GULISTAN ASHAR COLONY BAHAWALPUR ROAD","NAEEM ISLAMIC SCHOOLS","GULISTAN E ASHAR BWL ROAD MULTAN","AL-NAEEM ISLAMIC ELEMENTARY SCHOOL","BASTI MUREED PUR","WISDOM ISLAMIC  SCHOOL","HAJI BLOCK SHER SHAH ROAD","AL NASEER ISLAMIC SCHOOL","ADA BUND BOSAM MULTAN","ISLAMIC SCHOOL SYSTEM","Mohsin Town St. No. 1"
"DAR-E-IRQAM SCHOOL","SHUJABAD ROAD BASTI MALOOK","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DAR-E-ARQAM SCHOOL","GARDEN TOWN MULTAN","DAR-E-ARQAM SCHOOL","177 SHAMS ABAD","DARE-ARQAM SCHOOL","353 D SHAH RUKNE ALAM COLONY"
"THE EDUCTOR SCHOOL","BASTI MALOOK BAHAWALPUR ROAD","JOINT EDUCATOR SCHOOL","HASSAN PURA STR 47","PERFECT EDUCATOR SCHOOL","ST # 8 GULAB COLONY","EXCEL SCHOOLOF THE EDUCATOR","Al Jelan Town","THE NOBLE EDUCATOR SCHOOL BASTI MALOOK","DUNYA PUR BASTI MALOOK","JB EDUCATOR SCHOOL SYSTEM","SURAJ KUNO ROAD CHAKL NOOR WALA"
