Sr #,Registration #,Unit Name,Date of Registration,Address of Establishment,Tehsil,District,Directorate,Contact #,Date of Start of Business,Name of Employer,Nature of Business,No. of Permanent Employees,No. of Temporary Employees,No. of Contractual Employees ,Total No. of Employees,Amount of wages paid to employees (Dec 2017),Amount of contribution paid (Dec 2017),F4 No. ,Amount of C4,F5 No.,F5 Amount,Where C4 Amount is Excess,Where C4 Amount is Less,Amount Increase Receivable ,Increase Amount Received,Accum. Balance of arrears,Functional/ Non- Functional ,Cases u/s 57,Cases u/s 59,Cases U/S 66,Cases U/S 81,Civil / High Court
45001,160848,M/s Sony Foods,25-08-2007,Addi wala,Khanewal,Khnewal,Multan,,,M. Aslam,,,,,,,15600,17598,,,,,,-,,0,Functional ,,,,,
45002,161213,M/s Data Agro,30-07-1995,Perowal,Khanewal,Khnewal,Multan,,,Rafii,,,,,,,,,,,,,,-,,2320,Non-Functional,,,,,
45003,176919,M/s. Al Rafi Oil,26-03-2015,Industrial Estate,Khanewal,Khnewal,Multan,0306-5420310,,Rashid malik,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45004,1259132,M/s Rashid Flour,19-05-2012,Multan Road,Khanewal,Khnewal,Multan,,,Khan Muhammad,,,,,,,5400,17582,1800,,,,,274,,38834,Functional ,,,,,
45005,1031586,M/s Farm Land pvt,23-04-2015,Jhania bypass,Khanewal,Khnewal,Multan,0345-7007109,,Ch M Aslam,,,,,,,,,,,,,,,,8000,Functional ,,,,,
45006,1260959,M/s. Ahmad Akmal,23-04-2015,Sir Syed road,Khanewal,Khnewal,Multan,065-2558657,,Haji Bashir Ahmed,,,,,,,6300,17534,10800,,,,,605,,32805,Functional ,,,,,
45007,1261324,M/s Bismillah Family Mart,28-04-2010,Rajpoot Nagar,Khanewal,Khnewal,Multan,0301-8730656,,Dr. Bilal,,,,,,,,,6300,,,,,10130,,26330,Non-Functional,,,,,
45008,869784,M/s. Muslim Rice,7/5/10,Khanewal,Khanewal,Khnewal,Multan,0300-8393956,,Raheem,,,,,,,,,,,,,,-,,21840,Non-Functional,,,,,
45009,875628,M/S Shiekh Rahim Rice,19-11-2014,Purnai Sabzi Mandi,Khanewal,Khnewal,Multan,0323-6218194,,Shabeer,,,,,,,,,,,,,,-,,36240,Functional ,,,,,
45010,1229183,Hafiz lahori Naan Shop,1/1/16,Chowk jaswant,Khanewal,Khnewal,Multan,0300-6880487,,Saeed Ahmed,,,,,,,,,900,,,,,,,84440,Functional ,,,,,
45011,1261689,M/s. Nirala Sweet,28-05-2015,Purnai Sabzi Mandi,Khanewal,Khnewal,Multan,0301-7205665,,Nadeem Ahmed,,,,,,,,,2700,,,,,4715,,9854,Functional ,,,,,
45012,1293830,M/S Data Naan Shop,28-05-2015,Industrial Estate,Khanewal,Khnewal,Multan,0300-8392351,,Liaqat ,,,,,,,,,900,,,,,-,,71040,Functional ,,,,,
45013,1295291,M/s. Muzmil Oil,28-05-2015,Faroq azam Khanewal,Khanewal,Khnewal,Multan,0305-7609585,,Shoukat Hussain,,,,,,,,,900,,,,,-,,59160,Functional ,,,,,
45014,1296752,M/S Rehman Bakery,28-05-2015,Purnai Sabzi Mandi,Khanewal,Khnewal,Multan,0334-8831410,,Faisal Shehzad,,,,,,,,,900,,,,,-,,71040,Functional ,,,,,
45015,1187544,M/s Bismillah Naan Shop,28-05-2015,Purnai Sabzi Mandi,Khanewal,Khnewal,Multan,0305-4676800,,M. Ashraf,,,,,,,,,900,,,,,-,,71040,Functional ,,,,,
45016,1297848,M/s Baba Lahori Naan,12/4/16,Chak No 20 v ,Khanewal,Khnewal,Multan,0306-7607084,,M.Aslam,,,,,,,,,900,,,,,-,,71040,Functional ,,,,,
45017,1362861,M/s Aslam Proteen,12/4/16,Perowal,Khanewal,Khnewal,Multan,0300-7899027,,Nasir,,,,,,,,,4500,,,,,-,,84400,Functional ,,,,,
45018,1364688,M/s Nasir Proteen,1/4/16,6 Kasi khaneal,Khanewal,Khnewal,Multan,0302-8616888,,Sh Naeem,,,,,,,,,4500,,,,,-,,84400,Functional ,,,,,
45019,1365783,M/s Top Chicks,3/5/16,Rango pul Khaneal,Khanewal,Khnewal,Multan,30042691985,,Shabeer Ahmed,,,,,,,7200,17512,4500,,,,,-,,80400,Functional ,,,,,
45020,1384776,M/s Shabbir proteen No 2,3/5/16,Garha ore,Khanewal,Khnewal,Multan,3006890493,,Sohail,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45021,1386603,M/s Sohail Proteen,3/5/16,Garha ore,Khanewal,Khnewal,Multan,3017547967,,Ch Mushtaq,,,,,,,,,4500,,,,,-,,80400,Functional ,,,,,
45022,1386968,M/s Mushtaq Proteen,3/5/16,44/10r Khanewal,Khanewal,Khnewal,Multan,3008944931,,Sohail khan,,,,,,,,,4500,,,,,-,,80400,Functional ,,,,,
45023,1387333,M/s Sohail Proteen,3/5/16,90/10 R,Khanewal,Khnewal,Multan,0300-6682557,,Ch Mumtaz,,,,,,,,,4500,,,,,-,,80400,Functional ,,,,,
45024,1388428,M/s Mumtaz Proteen,3/5/16,90/10 R,Khanewal,Khnewal,Multan,0300-7373712q,,Ch M Aslam,,,,,,,,,4500,,,,,-,,80400,Functional ,,,,,
45025,1388793,M/s Aslam Proteen,3/5/16,Qasim Bag,Khanewal,Khnewal,Multan,0300-7311348,,Azhar Saeed,,,,,,,,,4500,,,,,-,,80400,Functional ,,,,,
45026,1390254,M/S Al Noor Proteen,19-05-2016,Kohi wala,Khanewal,Khnewal,Multan,,,Shabeer,,,,,,,7200,17511,,,,,,-,,80400,Functional ,,,,,
45027,1389524,M/s Shabbir proteen 3,2/7/86,Niazi Chok,Khanewal,Khnewal,Multan,0300-8713722,,Abid saeed,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45028,5-13-1131,M/s Masood & Co pump,31-07-1986,Niazi Chok,Khanewal,Khnewal,Multan,,,Hussain ,,,,,,,,,900,,,,,14781,,241791,Functional ,,,,,
45029,5-13-1132,M/s Qaiser Filling,12/11/88,Jhania bypass,Khanewal,Khnewal,Multan,,,Tariq Khan,,,,,,,,,5400,,,,,-,,16200,Functional ,,,,,
45030,5-13-1420,M/s New Niazi Filling,1/10/96,Dera Taj,Khanewal,Khnewal,Multan,,,Abdul Qadeer,,,,,,,,,1800,,,,,3206,,110202,Functional ,,,,,
45031,193348,M/s Mahsood Waziristan Pum,1/7/95,Ada Mehrsha,Khanewal,Khnewal,Multan,0343-7340734,,Hammad,,,,,,,,,4500,,,,,56,,244908,Functional ,,,,,
45032,197366,M/s Moon Petrolium,1/10/95,Jahania ByPass,Khanewal,Khnewal,Multan,,,Mian Zulfiqar,,,,,,,,,1800,,,,,-,,10800,Functional ,,,,,
45033,234255,M/s Hussnain petrolium,4/1/97,80/10R,Khanewal,Khnewal,Multan,,,M Arif,,,,,,,,,4500,,,,,527,,140914,Functional ,,,,,
45034,201749,M/s Mehran Petrolium,4/1/97,Perowal,Khanewal,Khnewal,Multan,,,abdul qauum,,,,,,,6300,15631,,,,,,2204,,12824,Functional ,,,,,
45035,380352,M/s Pirowal Trucking station,28-06-2005,Haider Nagar,Khanewal,Khnewal,Multan,0345-5852200,,Malik Ashraf,,,,,,,,,6300,,,,,3461,,25110,Functional ,,,,,
45036,515857,M/s Zarnab Filling Station,18-12-2008,T Chok,Khanewal,Khnewal,Multan,0300-7656707,,Farkh Naseem,,,,,,,6300,15638,,,,,,5447,,56207,Functional ,,,,,
45037,626891,M/s Faryal Filling Station,11/2/08,Ada perwal,Khanewal,Khnewal,Multan,0304-6324405,,Faisal Shehzad,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45038,634561,M/s Fast Drive CNG,11/2/18,Peoples colony,Khanewal,Khnewal,Multan,,,Hamayo,,,,,,,,,,,,,,-,,169320,Non-Functional,,,,,
45039,636022,M/s Kum & Go CNG,11/2/08,Niazi Chok,Khanewal,Khnewal,Multan,0301-4220271,,Akhtar,,,,,,,,,,,,,,-,,196980,Non-Functional,,,,,
45040,636752,M/s Economy Drive CNG,11/2/08,Hussain Mill,Khanewal,Khnewal,Multan,065-2014322,,Azhar Supra,,,,,,,,,,,,,,4112,,29012,Functional ,,,,,
45041,637118,M/s Al Amin CNG,11/2/08,Awan Chok,Khanewal,Khnewal,Multan,3006890660,,Abdul Razzak,,,,,,,,,,,,,,-,,45237,Functional ,,,,,
45042,637483,M/s City CNG,11/2/08,Niazi Chok,Khanewal,Khnewal,Multan,652558500,,Abdul Haq,,,,,,,,,4500,,,,,3888,,42348,Functional ,,,,,
45043,637848,M/s Al Haq Petrolium,11/2/08,Peoples colony,Khanewal,Khnewal,Multan,0301-7593420,,Mazhar Abbad,,,,,,,5400,17562,,,,,,24003,,27225,Functional ,,,,,
45044,638944,M/s Shell Khanewal,16-03-2009,Kacha khoo,Khanewal,Khnewal,Multan,0300-6890067,,Ghulam M Awan,,,,,,,,,5400,,,,,495,,70095,Functional ,,,,,
45045,657206,M/s Al Rehman Petrolium,16-03-2009,Zafarulaah road ,Khanewal,Khnewal,Multan,652554909,,Ghulam M Awan,,,,,,,,,3600,,,,,37352,,75752,Functional ,,,,,
45046,686791,M/s Punjab petrolium,1/3/14,Jahania ByPass,Khanewal,Khnewal,Multan,0300-6899665,,Akbar ,,,,,,,,,4500,,,,,2048,,10576,Functional ,,,,,
45047,657936,M/s A One Petrolium,7/5/10,GT ROAD ,Khanewal,Khnewal,Multan,,,NABEEL KHAN,,,,,,,,,3600,,,,,37393,,75793,Functional ,,,,,
45048,880733,M/s Sitar e Hilal petrolium,7/5/10,Perowal,Khanewal,Khnewal,Multan,0321-6898584,,AMAN ULLAH,,,,,,,5400,15668,,,,,,13465,,43165,Functional ,,,,,
45049,878542,M/s Naseem Filling Station,7/5/10,Qasim Bag,Khanewal,Khnewal,Multan,,,MAZHAR SAHIB,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45050,876351,M/s Mazhar Filling Station,7/5/10,LAHORE MORE,Khanewal,Khnewal,Multan,0300-6849255,,RANA AKMAL,,,,,,,,,2700,,,,,28769,,116369,Functional ,,,,,
45051,876716,M/s Naveed Mushtaq/,7/5/10,Niazi Chok,Khanewal,Khnewal,Multan,0300-6893115,,HANIF AABASI,,,,,,,,,1080,,,,,4221,,8182,Functional ,,,,,
45052,877446,M/s NN CNG,7/5/10,sabir chowk kacha khuh,Khanewal,Khnewal,Multan,,,HAIDER KHAN,,,,,,,,,4500,,,,,-,,138487,Functional ,,,,,
45053,877811,M/s Al Haider Petrolium,7/5/10,CIVIL LINE,Khanewal,Khnewal,Multan,0331-6555526,,MALIK WAQAR,,,,,,,,,5400,,,,,259,,34859,Functional ,,,,,
45054,879272,M/s Quick & Clean Service,7/5/10,CIVIL LINE,Khanewal,Khnewal,Multan,,,AATA HUSSAIN,,,,,,,,,4500,,,,,-,,275400,Functional ,,,,,
45055,879638,M/s Star Fiber Optic,7/5/10,Perowal,Khanewal,Khnewal,Multan,,,SHAMSHAD KHAN,,,,,,,,,4500,,,,,2050,,259450,Functional ,,,,,
45056,880368,M/s Shamshad petrolium,7/5/10,NEAR NISHAD COTTON,Khanewal,Khnewal,Multan,,,SOHAIL SIKANDAR,,,,,,,2700,17549,,,,,,-,,162120,Functional ,,,,,
45057,881099,M/s Agri Mall Filling,25-11-2009,Niazi Chok,Khanewal,Khnewal,Multan,3015889961,,M. NAWAZ,,,,,,,,,,,,,,945,,17145,Functional ,,,,,
45058,709800,M/a Qayyum petrolium,19-5-2012,ADA MEHAR SHAH,Khanewal,Khnewal,Multan,,,ALLAH YAR,,,,,,,,,2700,,,,,-,,108240,Functional ,,,,,
45059,1030483,M/s Sultan Petrolium,27-04-2009,JEHANIAN ROAD,Khanewal,Khnewal,Multan,0300-6890651,,MUNAWAR HUSSAIN,,,,,,,2700,17608,,,,,,263,,163463,Functional ,,,,,
45060,694095,M/s Nishan e haider Pet,26-3-2015,Perowal,Khanewal,Khnewal,Multan,0300-8332499,,RAZA HAYAT,,,,,,,,,,,,,,311,,13068,Functional ,,,,,
45061,1259491,M/s New Shawal Pet,7/5/10,NEAR HUSSAIN MILLS,Khanewal,Khnewal,Multan,0303-6626963,,MUHAMMAD ASHRAF,,,,,,,,,900,,,,,0,,57640,Functional ,,,,,
45062,874160,M/s Gas Port CNG,7/5/10,Multan Road,Khanewal,Khnewal,Multan,,,AHMAD SAHIB,,,,,,,,,1800,,,,,5414,,30974,Non-Functional,,,,,
45063,874525,M/s Ahmad Petrolium,7/5/10,8 Kasi,Khanewal,Khnewal,Multan,0300-8632564,,Rana Latif,,,,,,,,,,,,,,3766,,49126,Functional ,,,,,
45064,874890,M/s Rajpoot Petrolium,7/5/10,8 Kasi,Khanewal,Khnewal,Multan,,,M. Khalid Sharif,,,,,,,,,2700,,,,,18504,,222024,Non-Functional,,,,,
45065,875256,M/s Rana Afzaal petrlieum,23-04-2015,Purnai Sabzi Mandi,Khanewal,Khnewal,Multan,065-2556589,,Najaf Khan,,,,,,,,,,,,,,0,,85800,Functional ,,,,,
45066,1259856,M/s Khan Petrolium,15-4-2015,Zafarulaah road ,Khanewal,Khnewal,Multan,,,Hamayun Khan,,,,,,,,,2700,,,,,1350,,14850,Functional ,,,,,
45067,1276657,M/s Humayun & Shoaib F,8/4/15,8 kasi road multan,Khanewal,Khnewal,Multan,0346-7901187,,Ramzan,,,,,,,,,6300,,,,,-,,180640,Functional ,,,,,
45068,1277023,M/s Super Petrolium,8/5/15,Ada Jungle Muryala,Khanewal,Khnewal,Multan,0308-7777164,,Khalid,,,,,,,,,,,,,,-,,67219,Functional ,,,,,
45069,1296380,M/s Rajpoot Petrolium,1/4/16,Jehanian By Pass,Khanewal,Khnewal,Multan,0300-6899263,,Hamayun Khan,,,,,,,,,1800,,,,,5665,,30405,Functional ,,,,,
45070,1364315,M/s Super Sarhad B.G,25-3-2016,Kabirwala Road,Khanewal,Khnewal,Multan,0301-7609052,,Ahmad Raza,,,,,,,,,4500,,,,,-,,84400,Functional ,,,,,
45071,1367603,M/s Saim Abdullah pet,4/10/92,Katchery Bazar,Khanewal,Khnewal,Multan,,,Muhammad Nafees,,,,,,,,,4500,,,,,-,,84400,Non-Functional,,,,,
45072,5-24-916,M/s Nafees Tailors,4/10/05,Katchery Bazar,Khanewal,Khnewal,Multan,,,Khalid,,,,,,,,,,,,,,-,,0,Non-Functional,,,,,
45073,5-24-917,M/s Khalid Tailors,16-6-1994,Stadium Road,Khanewal,Khnewal,Multan,,,M Ramzan,,,,,,,,,,,,,,-,,0,Non-Functional,,,,,
45074,150990,M/s Indus Garments,19-01-2001,Akbar Bazar,Khanewal,Khnewal,Multan,,,Hamayun Khan,,,,,,,,,,,,,,-,,504,Non-Functional,,,,,
45075,-,M/s Super Soda,24-10-1994,Akbar Bazar,Khanewal,Khnewal,Multan,,,M. Shoaib,,,,,,,,,,,,,,-,,100,Non-Functional,,,,,
45076,-,M/s M.Shoaib Soda,3/12/96,CIVIL LINE,Khanewal,Khnewal,Multan,,,Nazir Ahmad,,,,,,,39120,15673,,,,,,-,,2875,Functional ,,,,,
45077,5-23-105,M/s R.C.A Cotton,15-3-1971,Azeem Town,Khanewal,Khnewal,Multan,,,Dr Zafar Iqbal,,,,,,,,,,,,,,12137,,12137,Non-Functional,,,,,
45078,5-23-106,M/s Amin Bashir Cotton,18-4-2000,Head Bridge,Khanewal,Khnewal,Multan,,,Ahmad Khan,,,,,,,,,,,,,,-,,0,Non-Functional,,,,,
45079,5-23-107,M/s Cooperative Textile,15-12-2001,Head Bridge,Khanewal,Khnewal,Multan,,,Ahmad Khan,,,,,,,,,,,,,,-,,0,Non-Functional,,,,,
45080,5-23-108,M/s CooperativeGinning,29-12-1983,Kabirwala Road,Khanewal,Khnewal,Multan,0323-6309000,,Sidique,,,,,,,,,,,,,,-,,2480,Functional ,,,,,
45081,5-23-915,M/s Al Naser Cotton,1/8/88,Railway Line,Khanewal,Khnewal,Multan,,,Haji Nishat daha,,,,,,,,,31760,,,,,-,,50660,Functional ,,,,,
45082,5-23-1543,M/s Nishat Cotton,1/1/83,ADA MEHAR SHAH,Khanewal,Khnewal,Multan,0300-6619557,,Mian Ahmad Saeed,,,,,,,,,9000,,,,,200,,20000,Functional ,,,,,
45083,5-23-1547,M/s Zulfiqar Cotton,15-8-1988,Kabirwala Road,Khanewal,Khnewal,Multan,,,Akhtar Naseem,,,,,,,,,27000,,,,,4930,,34630,Non-Functional,,,,,
45084,5-23-1547,M/s. Akhter Industries,1/1/13,Pull Astabal,Khanewal,Khnewal,Multan,,,Ikhlaq Ahmad,,,,,,,27240,17520,,,,,,-,,0,Functional ,,,,,
45085,5-23-1835,M/s Akhlaq Brothers,1/1/01,ADA MEHAR SHAH,Khanewal,Khnewal,Multan,,,Umar Khan,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45086,37764,M/s Omer/pearl Cotton,21-10-1991,Jehanian road,Khanewal,Khnewal,Multan,,,Mian Zahid,,,,,,,14580,17555,,,,,,11796,,87874,Functional ,,,,,
45087,75749,M/s Hassan Cotton,10/7/93,Perowal,Khanewal,Khnewal,Multan,,,M. Hamid Sahib,,,,,,,,,,,,,,9508,,45100,Functional ,,,,,
45088,73923,M/s Ahmad Traders,30-12-1992,Shahana road,Khanewal,Khnewal,Multan,,,Mian Sajjad Sahib,,,,,,,2160,15670,,,,,,-,,43200,Functional ,,,,,
45089,76480,M/s A.K Prime Cotton,29-6-1992,Tool Plaza Khanewal,Khanewal,Khnewal,Multan,,,Safdar Ali,,,,,,,,,,,,,,24086,,71726,Non-Functional,,,,,
45090,36669,M/s KhanewalGolden,29-11-1992,Kabirwala Road,Khanewal,Khnewal,Multan,,,Qaisar,,,,,,,,,,,,,,-,,15073,Functional ,,,,,
45091,119944,M/s Decent papers,10/11/01,Garha More,Khanewal,Khnewal,Multan,,,M. Hanif,,,,,,,,,7200,,,,,-,,85185,Functional ,,,,,
45092,123961,M/s Five Star Cotton,1/3/93,Garha More,Khanewal,Khnewal,Multan,,,Saleem Akhtar,,,,,,,,,9000,,,,,9810,,50370,Functional ,,,,,
45093,120674,M/s Saleem Brothers,3/1/96,Khanewal Road,Khanewal,Khnewal,Multan,,,Haji Murshid,,,,,,,,,9000,,,,,84400,,700435,Functional ,,,,,
45094,197010,M/s Al Kareem Cotton,31-12-2009,Pull Astabal,Khanewal,Khnewal,Multan,,,Muhammad Afzal,,,,,,,,,1800,,,,,-,,194763,Functional ,,,,,
45095,740125,M/s Mahaar Cotton,31-12-2009,Industrial Estate,Khanewal,Khnewal,Multan,0333-6239416,,M. Zulfiqar,,,,,,,,,,,,,,2250,,2363,Functional ,,,,,
45096,698488,M/s Al Razi Cotton,31-12-2009,Industrial Estate,Khanewal,Khnewal,Multan,0300-6884529,,Shabir Ahmad,,,,,,,,,9000,,,,,-,,143460,Functional ,,,,,
45097,5622,M/s Saira Cotton,1/11/11,Chak Shahana road,Khanewal,Khnewal,Multan,065-2670022,,M. Ishaq,,,,,,,,,900,,,,,-,,120960,Functional ,,,,,
45098,1017710,M/s Imran Ishaq Cotton,26-3-2015,Makhdum Pur Road,Khanewal,Khnewal,Multan,,,Ch Basharat,,,,,,,,,1800,,,,,2160,,52960,Functional ,,,,,
45099,1260231,M/s Aziz Cotton and oil,28-11-2013,Jehanian Road,Khanewal,Khnewal,Multan,,,Mubin,,,,,,,10800,17557,,,,,,,,49840,Functional ,,,,,
45100,5/23/39,M/s Mubeen Atif Cotton Factory,28-11-2013,Kabirwala Road,Khanewal,Khnewal,Multan,,,M. Shahid,,,,,,,,,27000,,,,,5414,,32414,Functional ,,,,,
45101,5/23/40,M/s Shahid/Nadeem Habib Cotton,28-11-2013,Adhi Wala,Khanewal,Khnewal,Multan,065-2552534,,Mian Sajjad Sahib,,,,,,,2160,15669,,,,,,639,,34659,Functional ,,,,,
45102,5/23/42,M/s Prime Fiber Cotton,28-11-2013,Chak Shahana road,Khanewal,Khnewal,Multan,,,M. Anwar,,,,,,,19560,17521,-,,,,,24086,,51926,Functional ,,,,,
45103,5/23/43,M/s Anwar Cotton Factory,26-3-2015,Makhdum Pur Road,Khanewal,Khnewal,Multan,0302-3715215,,Shafiq,,,,,,,,,,,,,,2,,2,Functional ,,,,,
45104,5/23/51,M/s Haider Khan Cotton Factory,27-11-1991,5 Kasi,Khanewal,Khnewal,Multan,0300-6898355,,Zubair Ul Haq,,,,,,,,,27000,,,,,5067,,40167,Functional ,,,,,
45105,5/23/21,M/s Moon Model Cotton,3/7/95,Sham Kot,Khanewal,Khnewal,Multan,,,Khalid Masood,,,,,,,,,900,,,,,17920,,56500,Non-Functional,,,,,
45106,5/23/85,M/s The Sanaco Cotton,30-7-1995,Sham Kot,Khanewal,Khnewal,Multan,,,M. Ashraf,,,,,,,,,,,,,,-,,0,Functional ,,,,,
45107,5/23/86,M/s Shiekh Ismail Cotton,21-7-2007,Multan Road,Khanewal,Khnewal,Multan,,,Mansha,,,,,,,470145,17525,14400,,,,,-,,34920,Functional ,,,,,
45108,5/23/11,M/s Hussain Mill Unit No.5,18-12-2008,Adhi Wala,Khanewal,Khnewal,Multan,0300-6890830,,Mukhtar,,,,,,,,,,,,,,1618,,1618,Functional ,,,,,
45109,5/23/17,M/s Mukhtar Cotton,1/8/88,Adhi Wala,Khanewal,Khnewal,Multan,,,Naeem Ahmad,,,,,,,26421,15641,,,,,,-,,0,Functional ,,,,,
45110,5-23-1542,Al Hamd Cotton,21-5-1974,R C Chowk ,Khanewal,Khnewal,Multan,,,Ahmad,,,,,,,,,,,,,,949,,3649,Non-Functional,,,,,
45111,523-4939,M/s Ittehad Bhatta,21-5-1974,Railway Line,Khanewal,Khnewal,Multan,,,Khalid,,,,,,,,,,,,,,-,,3633,Non-Functional,,,,,
45112,5-40-229,M/s Khanewal Zahoor Kiln,1/10/76,Aziz Abad,Khanewal,Khnewal,Multan,,,,,,,,,,,,,,,,,-,,2495,Functional ,,,,,
45113,5-40-433,M/s hassan/Kamboh Kiln,9/8/80,Farid Abad Line,Khanewal,Khnewal,Multan,,,Haq Nawaz,,,,,,,,,4500,,,,,4000,,161802,Non-Functional,,,,,
45114,5-40-434,M/s Malik Haq Nawaz Kiln,18-2-1981,Chak 89/10,Khanewal,Khnewal,Multan,,,Rehmani,,,,,,,,,,,,,,-,,14662,Functional ,,,,,
45115,5-40-435,M/s national New Pathan,4/5/80,Uniliver,Khanewal,Khnewal,Multan,,,Azmat,,,,,,,,,4500,,,,,15,,192829,Functional ,,,,,
45116,5-40-581,M/s Hamdard Kiln,28-9-1980,Chah Niazi Wala,Khanewal,Khnewal,Multan,,,Badal Khan,,,,,,,,,4500,,,,,-,,188254,Non-Functional,,,,,
45117,5-40-643,M/s Rana Kiln,1/1/98,Chak 89/10,Khanewal,Khnewal,Multan,,,Murid Khan,,,,,,,,,,,,,,-,,5942,Functional ,,,,,
45118,5-40-644,M/s Rehman /Data Kilna,19-1-2001,Pull Astabal,Khanewal,Khnewal,Multan,,,Allah Ditta,,,,,,,,,900,,,,,-,,35466,Non-Functional,,,,,
45119,5-40-645,M/s Ch. Rehmani Kiln,18-2-1981,Pull Astabal,Khanewal,Khnewal,Multan,,,Azmat,,,,,,,,,,,,,,-,,6368,Functional ,,,,,
45120,5-40-646,M/s Rehmani/Data Kiln,2/7/86,By Pass Road,Khanewal,Khnewal,Multan,,,Naeem Ullah,,,,,,,,,900,,,,,-,,200994,Functional ,,,,,
45121,5-40-1134,M/s Bismillah/Saad Kiln,1/12/86,Chak 84/10,Khanewal,Khnewal,Multan,,,Abbas Khan,,,,,,,,,4500,,,,,1175,,187338,Non-Functional,,,,,
45122,5-40-1370,M/s Abbasia Kiln,1/12/86,Highway Restaurant,Khanewal,Khnewal,Multan,,,,,,,,,,,,,,,,,-,,1760,Non-Functional,,,,,
45123,5-40-1371,M/s Millat Bhatta,15-9-1987,Chak Shahana road,Khanewal,Khnewal,Multan,,,Naeem Ullah,,,,,,,,,,,,,,-,,7640,Non-Functional,,,,,
45124,5-40-1455,M/s paracha Kiln,5/9/87,Chak Shahana road,Khanewal,Khnewal,Multan,,,,,,,,,,,,,,,,,-,,1100,Non-Functional,,,,,
45125,5-40-1456,M/s Ameer Aziz Bhatta,15-8-1988,Railway Line,Khanewal,Khnewal,Multan,,,,,,,,,,,,,,,,,-,,12200,Functional ,,,,,
45126,5-40-1544,M/s Niaz Enterprises,15-8-1988,Railway Line,Khanewal,Khnewal,Multan,,,Fazal Urrehman,,,,,,,4500,15683,,,,,,19825,,36505,Functional ,,,,,
45127,5-40-1545,M/s New Al karam Bhatta,19-8-1990,Astabal Road,Khanewal,Khnewal,Multan,,,,,,,,,,,,4500,,,,,48150,,70050,Non-Functional,,,,,
45128,5-40-1525,M/s Farrukh Kiln,27-04-2009,Chak 80/10R,Khanewal,Khnewal,Multan,0300-6879969,,M. Akhtar,,,,,,,,,,,,,,-,,4169,Non-Functional,,,,,
45129,5-40-1707,M/s Al Farid Chishtia Kiln,19-8-1990,Railway Line,Khanewal,Khnewal,Multan,,,,,,,,,,,,,,,,,-,,90950,Functional ,,,,,
45130,5-40-1798,M/s Al Makkah / Ittefaq kln,19-9-1991,Chah Niazi Wala,Khanewal,Khnewal,Multan,,,,,,,,,,,,4500,,,,,-,,191758,Functional ,,,,,
45131,5-40-2020,M/s Bhatta hazaray Khan,4/1/97,Dera Taj,Khanewal,Khnewal,Multan,,,,,,,,,,5500,17588,4500,,,,,633,,16813,Functional ,,,,,
45132,5-40-2436,M/s Sambo Construction,27-4-2009,Railway Line,Khanewal,Khnewal,Multan,0300-6897177,,Javed Iqbal,,,,,,,,,,,,,,21275,,156333,Functional ,,,,,
45133,5-40-3790,M/s javed Bricks,27-4-2009,LAHORE MORE,Khanewal,Khnewal,Multan,0300-6886679,,M. Akram,,,,,,,,,4500,,,,,-,,181241,Functional ,,,,,
45134,5-40-3791,M/s Raza Hussain Bricks,27-4-2009,Tabligi Markaz,Khanewal,Khnewal,Multan,0333-6216154,,Shahbaz U Din,,,,,,,,,4500,,,,,675,,272235,Functional ,,,,,
45135,5-40-3792,M/s madni bricks,19-8-1990,Rehman Town,Khanewal,Khnewal,Multan,,,,,,,,,,,,4500,,,,,6000,,267960,Functional ,,,,,
45136,5-40-3793,M/s New Akram/N.Akram,29-4-2010,Shell Pump Ada Perowal,Khanewal,Khnewal,Multan,0300-7897861,,Noor Muhammad,,,,,,,,,4500,,,,,12585,,233145,Functional ,,,,,
45137,5-40-4280,M/s punjab Kiln,28-4-2010,Kacha khoo,Khanewal,Khnewal,Multan,0300-7879137,,M. Ashraf,,,,,,,,,4500,,,,,-,,275100,Functional ,,,,,
45138,5-40-4282,M/s al Ashraf Kiln,28-4-2010,Kacha khoo,Khanewal,Khnewal,Multan,0302-7519039,,Mukhtar Ahmad,,,,,,,,,900,,,,,-,,153660,Functional ,,,,,
45139,5-40-4283,M/s Jannat pur Bricks,28-4-2010,Ada Perowal,Khanewal,Khnewal,Multan,0300-8422777,,M. Nawaz,,,,,,,,,4500,,,,,-,,31440,Non-Functional,,,,,
45140,5-40-4284,M/s Finco Construction,7/5/10,Qasim Bag,Khanewal,Khnewal,Multan,0301-2421630,,Aftab Ahmad Khan,,,,,,,,,,,,,,-,,39600,Non-Functional,,,,,
45141,5-40-4298,M/s Hjra e Aswad,7/5/10,LAHORE MORE,Khanewal,Khnewal,Multan,0300-2569264,,Ashraf,,,,,,,,,,,,,,-,,107250,Functional ,,,,,
45142,5-40-4301,M/s Zakria Kiln,7/5/10,Kacha khoo,Khanewal,Khnewal,Multan,0300-7092008,,Ghulab Khan,,,,,,,,,4500,,,,,-,,269400,Functional ,,,,,
